"label"	"tax"
"tax580"	"Rugamonas"
"tax581"	"Schaalia"
"tax582"	"Mitsuaria"
"tax583"	"Yinghuangia"
"tax584"	"Halomicroarcula"
"tax585"	"Bacteroides"
"tax586"	"Actinotalea"
"tax587"	"Thalassospiraceae"
"tax588"	"Rhodothermus"
"tax589"	"Methylocella"
"tax590"	"Glutamicibacter"
"tax591"	"Propionibacterium"
"tax592"	"Fusarium"
"tax593"	"Nectriaceae"
"tax594"	"Methyloceanibacter"
"tax595"	"Rosistilla"
"tax596"	"Alicycliphilus"
"tax597"	"Fontisphaera"
"tax598"	"Fontisphaeraceae"
"tax599"	"Egibacter"
"tax600"	"Egibacteraceae"
"tax601"	"Anatilimnocola"
"tax602"	"Maioricimonas"
"tax603"	"Alloactinosynnema"
"tax604"	"Citrobacter"
"tax605"	"Eleftheria"
"tax606"	"Sinomonas"
"tax607"	"Citricoccus"
"tax608"	"Pleomorphomonas"
"tax609"	"Roseivivax"
"tax610"	"Herbiconiux"
"tax611"	"Lignipirellula"
"tax612"	"Roseimicrobium"
"tax613"	"Rhodovulum"
"tax614"	"Gloeobacter"
"tax615"	"Vulgatibacter"
"tax616"	"Vulgatibacteraceae"
"tax617"	"Alienimonas"
"tax618"	"Parasphingopyxis"
"tax619"	"Clostridium"
"tax620"	"Paraoerskovia"
"tax621"	"Paraflavitalea"
"tax622"	"Selenomonadaceae"
"tax623"	"Frigoribacterium"
"tax624"	"Denitratisoma"
"tax625"	"Planococcaceae"
"tax626"	"Thermobispora"
"tax627"	"Dickeya"
"tax628"	"Bremerella"
"tax629"	"Asticcacaulis"
"tax630"	"Phycisphaera"
"tax631"	"Glycomycetaceae"
"tax632"	"Halieaceae"
"tax633"	"Pengzhenrongella"
"tax634"	"Acidiphilium"
"tax635"	"Persicimonas"
"tax636"	"Prevotellaceae"
"tax637"	"Ferribacterium"
"tax638"	"Steroidobacter"
"tax639"	"Steroidobacteraceae"
"tax640"	"Parvibaculum"
"tax641"	"Natronosporangium"
"tax642"	"Roseibium"
"tax643"	"Wenzhouxiangella"
"tax644"	"Wenzhouxiangellaceae"
"tax645"	"Ruegeria"
"tax646"	"Tahibacter"
"tax647"	"Selenomonas"
"tax648"	"Halosimplex"
"tax649"	"Acidisarcina"
"tax650"	"Melittangium"
"tax651"	"Rhodomicrobium"
"tax652"	"Pseudoroseomonas"
"tax653"	"Arachidicoccus"
"tax654"	"Melaminivora"
"tax655"	"Aquaspirillaceae"
"tax656"	"Intrasporangium"
"tax657"	"Beutenbergia"
"tax658"	"Telluria"
"tax659"	"Geminicoccaceae"
"tax660"	"Tistrella"
"tax661"	"Aurantimonas"
"tax662"	"Microterricola"
"tax663"	"Methylovirgula"
"tax664"	"Halobacterium"
"tax665"	"Tomitella"
"tax666"	"Paenarthrobacter"
"tax667"	"Niabella"
"tax668"	"Nitrospirillum"
"tax669"	"Alcanivorax"
"tax670"	"Promineifilum"
"tax671"	"Nitrososphaera"
"tax672"	"Jeongeupia"
"tax673"	"Blastomonas"
"tax674"	"Labrys"
"tax675"	"Solidesulfovibrio"
"tax676"	"Allochromatium"
"tax677"	"Thiodictyon"
"tax678"	"Pedococcus"
"tax679"	"Cutibacterium"
"tax680"	"Elioraea"
"tax681"	"Elioraeaceae"
"tax682"	"Plantibacter"
"tax683"	"Actinacidiphila"
"tax684"	"Salinicola"
"tax685"	"Cellvibrio"
"tax686"	"Phaeobacter"
"tax687"	"Desulfosarcina"
"tax688"	"Desulfosarcinaceae"
"tax689"	"Xylophilus"
"tax690"	"Pseudolysobacter"
"tax691"	"Morganellaceae"
"tax692"	"Pseudoalteromonadaceae"
"tax693"	"Rothia"
"tax694"	"Auraticoccus"
"tax695"	"Occultella"
"tax696"	"Solicola"
"tax697"	"Haloplanus"
"tax698"	"Natronomonas"
"tax699"	"Sulfuritalea"
"tax700"	"Protofrankia"
"tax701"	"Stackebrandtia"
"tax702"	"Halovivax"
"tax703"	"Mycolicibacillus"
"tax704"	"Pusillimonas"
"tax705"	"Roseococcus"
"tax706"	"Methanofollis"
"tax707"	"Desulfobulbaceae"
"tax708"	"Dermacoccus"
"tax709"	"Kineococcus"
"tax710"	"Kineosporiaceae"
"tax711"	"Prochlorococcaceae"
"tax712"	"Paludibacterium"
"tax713"	"Chaetomiaceae"
"tax714"	"Breoghania"
"tax715"	"Breoghaniaceae"
"tax716"	"Azorhizobium"
"tax717"	"Roseiflexaceae"
"tax718"	"Roseiflexus"
"tax719"	"Pseudoalteromonas"
"tax720"	"Jiella"
"tax721"	"Chelativorans"
"tax722"	"Erwinia"
"tax723"	"Serpentinimonas"
"tax724"	"Prevotella"
"tax725"	"Celeribacter"
"tax726"	"Acetobacter"
"tax727"	"Polymorphum"
"tax728"	"Geotalea"
"tax729"	"Ferrovibrio"
"tax730"	"Noviherbaspirillum"
"tax731"	"Mumia"
"tax732"	"Orrella"
"tax733"	"Terricaulis"
"tax734"	"Barrientosiimonas"
"tax735"	"Leptospiraceae"
"tax736"	"Streptantibioticus"
"tax737"	"Paroceanicella"
"tax738"	"Aerosticca"
"tax739"	"Halomicrobium"
"tax740"	"Pasteurellaceae"
"tax741"	"Nitrosomonas"
"tax742"	"Lichenihabitans"
"tax743"	"Lichenihabitantaceae"
"tax744"	"Hartmannibacter"
"tax745"	"Peterkaempfera"
"tax746"	"Parazoarcus"
"tax747"	"Staphylococcaceae"
"tax748"	"Caldinitratiruptor"
"tax749"	"Pirellula"
"tax750"	"Luteimicrobium"
"tax751"	"Ereboglobus"
"tax752"	"Aquabacter"
"tax753"	"Acidibrevibacterium"
"tax754"	"Sideroxydans"
"tax755"	"Trueperella"
"tax756"	"Eggerthella"
"tax757"	"Cobetia"
